City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Springfield (East),01104,Shell,"2221 Main St, 01104",2.54,2.49,Shell,42.1101407,-72.6006844
Springfield (East),01104,Stop & Shop,"1277 Liberty St, 01104",2.57,2.47,Stop & Shop,42.1373538,-72.5820966
Springfield (East),01104,BD Mart,"20 East St, 01104",2.55,2.55,-,42.1481272,-72.5629038
Springfield (East),01104,CITGO,"289 Carew St, 01104",2.58,2.58,-,42.149015,-72.5644193
Springfield (East),01104,Pride,"549 Page Blvd, 01104",2.64,2.54,Pride,42.1395392,-72.5601149
Springfield (East),01104,Pride,"77 West St, 01104",2.69,2.59,Pride,42.1435596,-72.6112724
Springfield (East),01104,Racing Mart,"1037 St James Ave, 01104",2.59,2.59,-,42.1371817,-72.5693712
Springfield (East),01104,CITGO,"1271 Page Blvd, 01104",2.69,2.69,-,42.1498946,-72.5374867
West Springfield,01089,Sunny's Convenience Store,"2284 Westfield St, 01089",2.55,2.55,-,42.1044563,-72.6774836
West Springfield,01089,Speedway,"341 Memorial Ave, 01089",2.59,2.54,Speedway,42.0958494,-72.6025407
West Springfield,01089,Mobil,"562 Westfield Rd, 01089",2.58,2.55,Mobil,42.1861117,-72.6524085
West Springfield,01089,Pride,"757 Riverdale St, 01089",2.69,2.59,Pride,42.1246626,-72.625502
West Springfield,01089,Nouria,"518 Memorial Ave, 01089",2.74,2.74,-,42.0960296,-72.606093
West Springfield,01089,CITGO,"884 Westfield St, 01089",2.75,2.75,-,42.1041073,-72.6386615
West Springfield,01089,Sunoco,"735 Westfield St, 01089",2.84,2.81,Sunoco,42.1033308,-72.6357365
West Springfield,01089,Sunoco,"2668 Westfield St, 01089",2.95,2.92,Sunoco,42.1055072,-72.6277952
West Springfield,01089,Cumberland Farms,"143 Park Ave, 01089",2.69,2.59,Cumberland,42.1047799,-72.6193478
West Springfield,01089,Cumberland Farms,"22 Park St, 01089",2.69,2.59,Cumberland,42.1080906,-72.6171258
Westfield,01085,CITGO,"41 Franklin St, 01085",2.61,2.61,-,42.1250645,-72.7500438
Westfield,01085,CITGO,"439 N Elm St, 01085",2.65,2.65,-,42.1401791,-72.7333993
Westfield,01085,Shell,"259 N Elm St, 01085",2.67,2.62,Shell,42.1359276,-72.7389062
Westfield,01085,Mobil,"181 Elm St, 01085",2.66,2.63,Mobil,42.1244206,-72.7476514
Westfield,01085,Irving,"1400 Russel Rd, 01085",2.69,2.69,-,,
