City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Valero,"1356 OLD COUNTRY RD, 11901",2.49,2.49,-,40.9283279,-72.6857992
Riverhead,11901,Empire,"1050 Osborne Ave, 11901",2.49,2.49,-,40.8032257,-72.7577586
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",2.55,2.5,Shell,40.9239801,-72.7023482
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",2.55,2.52,Sunoco,,
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.57,2.54,Mobil,40.9252206,-72.6951725
Riverhead,11901,USA Gasoline,"1446 Flanders Rd, 11901",2.67,2.67,-,40.90403,-72.6056344
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.67,2.62,Speedway,40.9346058,-72.6699464
Riverhead,11901,BP,"626 W Main St, 11901",2.75,2.7,BP,40.9184063,-72.6731535
Riverhead,11901,Empire,"640 Main Rd, 11901",2.89,2.89,-,40.9379155,-72.6465653
Riverhead,11901,CITGO,"1429 Main Rd, 11901",2.89,2.89,-,40.9379155,-72.6465653
Riverhead,11901,Empire,"640 Old Country Rd, 11901",2.99,2.99,-,40.935281,-72.6648692
Westhampton Beach,11978,Valero,"112 Montauk Hwy, 11978",2.85,2.85,-,40.8012031,-72.7825196
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",2.85,2.82,7-Eleven,40.8300726,-72.6474301
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",2.85,2.8,Speedway,40.88464,-72.4264717
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",2.89,2.84,Shell,40.8834616,-72.5046248
Southampton,11968,Shell,"1630 CR-39, 11968",2.79,2.74,Shell,40.8949342,-72.4534478
Southampton,11968,Gas Hampton,"2000 CR-39, 11968",2.79,2.79,-,40.8949126,-72.4661039
Southampton,11968,Speedway,"816 CR-39, 11968",2.89,2.84,Speedway,40.8926889,-72.4251772
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Water Mill,11976,Shell,"960 Montauk Hwy, 11976",3.09,3.04,Shell,40.915432,-72.3479645
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",3.99,3.99,-,40.9957393,-72.2839455
Wainscott,11975,Speedway,"1 Day Ago, 11975",3.29,3.24,Speedway,,
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.13,4.13,-,40.97458,-72.1821194
