City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.55,2.52,Mobil,40.9252206,-72.6951725
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",2.59,2.56,Sunoco,,
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.67,2.62,Speedway,40.9346058,-72.6699464
Riverhead,11901,Empire,"640 Main Rd, 11901",2.89,2.89,-,40.9379155,-72.6465653
Riverhead,11901,CITGO,"1429 Main Rd, 11901",2.95,2.95,-,40.9379155,-72.6465653
Riverhead,11901,Empire,"640 Old Country Rd, 11901",2.99,2.99,-,40.935281,-72.6648692
Riverhead,11901,BP,"626 W Main St, 11901",2.75,2.7,BP,40.9184063,-72.6731535
Riverhead,11901,Mobil,"415 E Main St, 11901",2.79,2.76,Mobil,40.9182937,-72.6568979
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",2.96,2.93,7-Eleven,40.8300726,-72.6474301
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",2.96,2.91,Speedway,40.88464,-72.4264717
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",2.73,2.7,Mobil,40.8659062,-72.5490604
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",2.99,2.94,Shell,40.8834616,-72.5046248
Southampton,11968,Speedway,"816 CR-39, 11968",2.89,2.84,Speedway,40.8926889,-72.4251772
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Water Mill,11976,Shell,"960 Montauk Hwy, 11976",3.09,3.04,Shell,40.915432,-72.3479645
Wainscott,11975,Speedway,"1 Day Ago, 11975",3.29,3.24,Speedway,,
