City,Zip,Station,Address,Base,Net,Discount,Lat,Long
Riverhead,11901,Shell,"1733 Old Country Rd, 11901",2.63,2.58,Shell,40.9239801,-72.7023482
Riverhead,11901,Mobil,"1575 Old Country Rd, 11901",2.63,2.6,Mobil,40.9252206,-72.6951725
Riverhead,11901,BP,"626 W Main St, 11901",2.69,2.64,BP,40.9184063,-72.6731535
Riverhead,11901,Sunoco,"1879 Old Country Rd 58, 11901",2.69,2.66,Sunoco,,
Riverhead,11901,Speedway,"870 Old Country Rd, 11901",2.73,2.68,Speedway,40.9346058,-72.6699464
Riverhead,11901,Mobil,"415 E Main St, 11901",2.79,2.76,Mobil,40.9182937,-72.6568979
Riverhead,11901,Shell,"9 Lake Ave, 11901",2.83,2.78,Shell,40.9142638,-72.6632928
Westhampton Beach,11978,Valero,"112 Montauk Hwy, 11978",2.85,2.85,-,40.8012031,-72.7825196
Westhampton Beach,11978,7-Eleven,"107 Old Riverhead Rd, 11978",2.85,2.82,7-Eleven,40.8300726,-72.6474301
Quogue,11959,Speedway,"38 Montauk Hwy, 11959",2.85,2.8,Speedway,40.88464,-72.4264717
Hampton Bays,11946,7-11,"192 W Montauk hwy, 11946",2.73,2.7,7-11,40.874857,-72.536217
Hampton Bays,11946,Shell,"250 E Montauk Hwy, 11946",2.79,2.74,Shell,40.8834616,-72.5046248
Hampton Bays,11946,Mobil,"239 W Montauk Hwy, 11946",2.73,2.7,Mobil,40.8659062,-72.5490604
Southampton,11968,Speedway,"816 CR-39, 11968",2.89,2.84,Speedway,40.8926889,-72.4251772
Southampton,11968,Cumberland Farms,"13 CR-39, 11968",2.89,2.79,Cumberland,40.8966904,-72.3990073
Water Mill,11976,Speedway,"1138 Montauk Hwy, 11976",3.09,3.04,Speedway,40.9192162,-72.3436923
Water Mill,11976,Shell,"960 Montauk Hwy, 11976",3.09,3.04,Shell,40.915432,-72.3479645
Bridgehampton,11932,Gulf,"2148 Montauk Hwy, 11932",3.29,3.29,-,40.9335977,-72.3130303
Sag Harbor,11963,Gulf,"144 Hampton St, 11963",3.99,3.99,-,40.9957393,-72.2839455
East Hampton,11937,ROYAL,"23 Three Mile Harbor Rd, 11937",4.13,4.13,-,40.97458,-72.1821194
